ID,EPIC,RA,Dec,Gmag,Kmag,pmRA,e_pmRA,pmDE,e_pmDE,plx[mas],e_plx,f_plx,pmRAc,pmDEc,Pmem,RotPer[d],Ref
Pleiades,211041420,03 45 27.51,+23 37 57.3,17.13,13.27,18.22,2.1,-52.57,2.1,6.5,0.9,1,20.2,-45.3,100,0.2958,
Pleiades,211041474,03 48 13.77,+23 37 59.6,15.76,12.12,20.24,2.08,-51,2.08,7.7,1.1,1,19.8,-45.4,100,1.8306,
Pleiades,211041526,03 47 26.76,+23 38 02.7,16.16,12.28,22,2.08,-48.55,2.08,10.8,1.5,1,19.9,-45.4,100,0.4291,
Pleiades,211041682,03 54 22.47,+23 38 12.2,16.3,12.57,21.95,2.08,-47.92,2.08,7.2,1,1,19.1,-45.6,100,1.545,
Pleiades,211041683,03 48 16.90,+23 38 12.4,9.95,8.74,18.26,1.1,-48.4,0.96,6.5,0.9,1,19.8,-45.4,100,2.4534,
Pleiades,211041750,03 49 01.14,+23 38 15.8,17.65,13.57,18.27,2.55,-50.57,2.55,6.7,0.9,1,19.7,-45.4,100,0.3242,
Pleiades,211041753,03 41 34.79,+23 38 15.8,17.11,13.19,20.2,2.1,-48.5,2.1,6.6,0.9,1,20.6,-45.2,100,0.5168,
Pleiades,211042045,03 43 37.10,+23 38 32.3,15.74,11.88,18.63,2.1,-46.65,2.1,11.5,1.6,1,20.4,-45.3,99,0.366,
Pleiades,211042246,03 46 52.60,+23 38 43.4,16.32,12.21,17.33,2.19,-50.23,2.19,12.3,1.7,1,20,-45.4,97,0.0824,
Pleiades,211042471,03 49 29.80,+23 38 55.6,16.6,12.66,21.9,2.05,-47.41,2.05,9.9,1.4,1,19.7,-45.5,100,0.37,
Pleiades,211042656,03 49 21.48,+23 39 06.6,15.59,12.02,17.1,2.08,-51.55,2.08,8.4,1.2,1,19.7,-45.5,100,0.3389,
Pleiades,211043259,03 48 11.19,+23 39 44.0,15.51,11.9,14.64,2.08,-42.58,2.08,8.9,1.2,1,19.8,-45.4,100,,
Pleiades,211043323,03 47 51.95,+23 39 48.3,16.89,13.03,21.16,2.55,-48.08,2.55,7.4,1,1,19.9,-45.4,100,0.94,
Pleiades,211043986,03 43 31.95,+23 40 26.5,10.57,9.1,19.35,2.45,-43.56,0.57,7,0.8,0,20.4,-45.3,100,3.9906,
Pleiades,211044267,03 47 26.83,+23 40 42.0,7.75,7.34,22.17,0.44,-45.04,0.34,7.4,0.3,0,19.9,-45.4,100,0.0587,
Pleiades,211044536,03 40 34.36,+23 40 57.4,10.63,9.15,27.01,2.32,-45.23,0.58,5.7,0.6,0,20.7,-45.2,98,4.5487,
Pleiades,211044929,03 49 31.21,+23 41 19.9,16.63,12.77,18.57,2.08,-48.11,2.08,8.5,1.2,1,19.7,-45.5,100,0.3013,
Pleiades,211045147,03 43 39.72,+23 41 32.7,17.69,13.57,21.61,2.1,-53.87,2.1,7,1,1,20.4,-45.3,100,0.294,
Pleiades,211045153,03 47 33.46,+23 41 33.1,14.41,10.9,18.93,2.08,-49.89,2.08,11.5,1.6,1,19.9,-45.4,99,0.4226,
Pleiades,211045643,03 47 44.65,+23 42 03.4,16.48,12.69,20.46,2.08,-51.48,2.08,8.6,1.2,1,19.9,-45.4,100,0.4458,
Pleiades,211045648,03 48 15.26,+23 42 03.6,15.51,11.8,17.07,2.12,-47.73,2.12,10.4,1.4,1,19.8,-45.4,100,0.367,
Pleiades,211045933,03 49 50.36,+23 42 20.2,11.3,9.6,19.68,0.92,-47.98,0.92,6.8,0.9,1,19.6,-45.5,100,6.8472,
Pleiades,211046046,03 41 58.68,+23 42 26.4,13.81,10.84,18.27,2.1,-48.1,2.1,6.6,0.9,1,20.6,-45.2,100,7.7833,
Pleiades,211046102,03 41 27.82,+23 42 29.9,10.89,9.31,20.09,0.75,-45.57,0.37,7.7,0.2,0,20.6,-45.2,100,5.4678,
Pleiades,211046168,03 49 58.34,+23 42 34.0,14.98,11.6,14.08,2.06,-55.85,2.06,6.6,0.9,1,19.6,-45.5,77,1.3418,
Pleiades,211046240,03 47 08.54,+23 42 38.9,12.74,9.9,15.91,2.34,-55.32,2.34,10,1.4,1,20,-45.4,85,1.616,
Pleiades,211046293,03 49 43.53,+23 42 42.7,6.2,6.22,18.01,0.04,-45.6,0.02,7.9,0.5,0,19.7,-45.5,100,0.1765,
Pleiades,211046315,03 49 28.74,+23 42 43.9,11.13,9.43,19.67,0.77,-49.13,0.77,7.2,1,1,19.7,-45.5,100,5.7139,
Pleiades,211046446,03 47 13.53,+23 42 51.5,12.09,10.01,17.56,2.12,-49.88,2.12,6.9,0.9,1,20,-45.4,100,7.8496,
Pleiades,211046494,03 47 06.78,+23 42 54.6,11.89,9.84,17.81,2.34,-55.11,2.34,7.5,1,1,20,-45.4,99,8.4781,
Pleiades,211046826,04 03 49.56,+23 43 14.2,16.81,13,18.51,2.08,-48.83,2.08,6.9,1,1,18,-45.9,100,0.3081,
Pleiades,211046948,03 41 02.98,+23 43 21.7,15.6,12,20.82,2.1,-49.02,2.1,7,1,1,20.7,-45.2,100,1.4556,
Pleiades,211047055,03 49 57.63,+23 43 28.5,17.48,13.38,19.44,2.55,-50.69,2.55,8,1.1,1,19.6,-45.5,100,0.3019,
Pleiades,211047412,03 45 37.75,+23 43 50.3,18.5,13.72,10.16,2.87,-57.52,2.98,8.9,1.2,1,20.1,-45.3,15,,
Pleiades,211047687,03 43 39.03,+23 44 05.5,16.21,12.25,18.15,2.1,-52.14,2.1,11.5,1.6,1,20.4,-45.3,96,0.3049,
Pleiades,211047718,03 47 22.68,+23 44 07.1,16.17,12.44,19.48,2.12,-49.65,2.12,8.7,1.2,1,19.9,-45.4,100,0.6801,
Pleiades,211047828,03 46 02.76,+23 44 14.6,11.97,9.26,17.73,3.18,-43.46,3.18,14.7,2,1,20.1,-45.4,88,3.9585,
Pleiades,211047980,03 49 05.85,+23 44 23.3,14.37,10.76,18.56,2.08,-46.41,2.08,13.5,1.9,1,19.7,-45.5,98,0.8288,
Pleiades,211047990,03 48 07.96,+23 44 23.8,15.83,12.18,17.52,2.12,-49.49,2.12,8.2,1.1,1,19.8,-45.4,100,0.5148,
Pleiades,211048014,03 47 41.18,+23 44 25.1,13.21,10.56,20.4,2.12,-49.09,2.12,7,1,1,19.9,-45.4,100,0.7814,
Pleiades,211048116,03 53 47.58,+23 44 31.1,16.06,12.28,16.65,2.08,-50.32,2.08,8.9,1.2,1,19.2,-45.6,100,0.6775,
Pleiades,211048126,03 47 09.44,+23 44 32.0,14,10.69,20.22,2.12,-48.44,2.12,10.1,1.4,1,20,-45.4,100,0.8446,
Pleiades,211048321,03 51 11.87,+23 44 43.5,17.34,13.44,19.81,2.63,-49.91,2.63,6.2,0.9,1,19.5,-45.5,100,1.9607,
Pleiades,211049179,03 47 05.78,+23 45 35.0,18.29,14.15,27.34,2.83,-50.88,2.83,6.8,0.9,1,20,-45.4,100,,
Pleiades,211049322,03 43 34.39,+23 45 42.8,11.12,9.37,24.76,1.31,-47.21,0.69,7.3,0.4,0,20.4,-45.3,100,5.4442,
Pleiades,211049396,03 41 39.58,+23 45 47.1,13.71,10.87,22.94,2.1,-49.49,2.1,6.3,0.9,1,20.6,-45.2,100,11.0063,
Pleiades,211049486,03 39 50.67,+23 45 52.7,17.62,13.5,21.47,2.59,-48.58,2.59,6.9,1,1,20.8,-45.1,100,0.5572,
Pleiades,211049716,03 37 31.07,+23 46 07.5,17.44,13.48,18.9,2.65,-49.43,2.65,6.2,0.9,1,21.1,-45.1,100,< 2.,
Pleiades,211049922,03 55 29.01,+23 46 20.8,13.36,10.59,17.11,1.25,-45.43,1.25,7,1,1,19,-45.7,100,3.0184,
Pleiades,211050460,03 49 06.11,+23 46 52.5,10.34,8.6,17.43,1.35,-44.78,1.35,9.7,1.3,1,19.7,-45.5,100,0.7768,
Pleiades,211050553,03 46 40.01,+23 46 58.7,15.92,12.03,22.06,2.24,-44.5,2.24,10.7,1.5,1,20,-45.4,100,< 2.,
Pleiades,211050613,03 56 26.20,+23 47 03.6,11.05,9.39,22.52,1.35,-41.65,0.55,6.6,0.2,0,18.9,-45.7,99,,
Pleiades,211050629,04 05 14.31,+23 47 04.4,12.32,9.54,17.56,2.28,-44.62,2.28,11.3,1.6,1,17.8,-46,95,,
Pleiades,211050847,03 46 37.67,+23 47 15.9,10,8.53,19.65,0.73,-47.11,0.44,7.7,0.2,0,20,-45.4,100,6.1624,
Pleiades,211051330,03 49 33.12,+23 47 43.4,10.69,9.21,19.85,0.77,-45.5,0.77,7.1,1,1,19.7,-45.5,100,4.9432,
Pleiades,211051561,03 35 16.26,+23 47 58.2,17.21,13.18,27.8,2.12,-49,2.12,8.2,1.1,1,21.3,-45,99,0.4725,
Pleiades,211051770,03 47 20.97,+23 48 12.0,7.03,6.9,19.08,0.05,-45.46,0.03,7.2,0.4,0,19.9,-45.4,100,,
Pleiades,211051975,03 36 11.06,+23 48 23.5,17.07,13.08,19.69,2.55,-51.37,2.55,7.9,1.1,1,21.2,-45,100,0.549,
Pleiades,211051985,03 48 17.36,+23 48 23.9,16.57,12.78,15.75,2.62,-48.27,2.62,7.3,1,1,19.8,-45.4,100,0.4915,
Pleiades,211052320,04 10 03.81,+23 48 44.0,14.01,10.92,15.4,2.15,-43.5,2.15,7.1,1,1,17.2,-46.2,99,6.7602,
Pleiades,211052343,03 46 27.69,+23 48 45.7,16.96,12.63,20.71,2.75,-46.14,2.75,10.9,1.5,1,20,-45.4,100,2.3468,
Pleiades,211052416,03 50 12.59,+23 48 49.1,17.61,13.54,16.43,2.56,-50.84,2.55,6.5,0.9,1,19.6,-45.5,100,,
Pleiades,211052796,03 53 48.05,+23 49 09.9,17.83,13.51,18.48,2.58,-51.49,2.58,9,1.3,1,19.2,-45.6,100,,
Pleiades,211053031,03 42 45.64,+23 49 22.9,17.51,13.39,23.55,2.59,-47.03,2.59,7.9,1.1,1,20.5,-45.3,100,0.3519,
Pleiades,211053255,03 51 16.85,+23 49 35.7,11.98,9.96,20.27,0.83,-47.4,0.45,7.3,0.3,0,19.5,-45.6,100,7.9471,
Pleiades,211053549,03 47 13.66,+23 49 53.5,14.57,11.09,19.28,2.18,-50.46,2.18,10.1,1.4,1,20,-45.4,100,0.5326,
Pleiades,211053678,03 43 16.59,+23 50 01.8,16.22,12.39,21.55,2.1,-52.4,2.1,8.9,1.2,1,20.4,-45.3,100,0.7703,
Pleiades,211053737,03 50 54.33,+23 50 05.5,11.02,9.05,18.64,0.89,-50.14,0.85,9.2,1.3,1,19.5,-45.5,100,6.6498,
Pleiades,211053776,03 54 27.96,+23 50 07.3,12.38,9.66,17.1,2.28,-53.27,2.28,10.6,1.5,1,19.1,-45.7,96,3.0576,
Pleiades,211053922,03 41 05.22,+23 50 15.3,17.82,13.76,24.62,2.59,-51.13,2.59,6.7,0.9,1,20.7,-45.2,100,0.3446,
Pleiades,211054014,03 49 24.05,+23 50 21.3,11.05,9.38,19.21,0.77,-46.7,0.85,7.2,1,1,19.7,-45.5,100,5.5927,
Pleiades,211054027,03 45 03.28,+23 50 21.8,11.6,9.73,20.19,1.15,-45.6,0.63,7.5,0.3,0,20.2,-45.3,100,7.0949,
Pleiades,211054508,03 49 57.45,+23 50 49.5,10.14,8.5,22.39,1.15,-47.59,1.15,11.2,1.5,1,19.6,-45.5,100,,
Pleiades,211054599,03 49 58.05,+23 50 55.3,6.83,6.51,18.87,0.05,-45.98,0.03,7.2,0.4,0,19.6,-45.5,100,1.6412,
Pleiades,211054634,03 39 47.96,+23 50 57.2,15.54,11.83,19.61,2.15,-48.66,2.15,10.9,1.5,1,20.8,-45.1,99,0.3847,
Pleiades,211055134,03 43 23.25,+23 51 25.7,14.62,11.32,9.98,2.1,-45.87,2.1,6.6,0.9,1,20.4,-45.3,83,,
Pleiades,211055359,03 42 26.27,+23 51 38.7,,13.45,14.5,3.8,-59.7,3.8,5.7,0.8,4,20.5,-45.2,89,0.4958,
Pleiades,211055424,03 41 19.34,+23 51 42.2,16.72,12.78,20.89,2.1,-47.88,2.1,8.8,1.2,1,20.6,-45.2,100,0.4252,
Pleiades,211055468,03 50 02.17,+23 51 44.9,15.54,12,21.13,2.08,-50.66,2.08,7.2,1,1,19.6,-45.5,100,0.6757,
Pleiades,211055493,03 44 01.67,+23 51 46.3,16.23,12.03,18.25,2.1,-40.68,2.1,18.4,2.5,1,20.3,-45.3,28,0.7814,
Pleiades,211055718,03 54 23.99,+23 51 59.2,17.92,13.83,17.95,2.58,-54.84,2.58,7,1,1,19.1,-45.7,99,,
Pleiades,211056099,03 47 31.64,+23 52 19.4,16.69,12.81,19.5,2.19,-53.18,2.19,8.3,1.1,1,19.9,-45.4,100,0.4855,
Pleiades,211056415,03 44 12.13,+23 52 37.5,16.36,12.58,19.64,2.1,-50.22,2.1,8.4,1.2,1,20.3,-45.3,100,0.6063,
Pleiades,211056608,03 47 00.36,+23 52 48.3,17.29,13.1,14.64,2.91,-48.67,2.91,9.3,1.3,1,20,-45.4,100,,
Pleiades,211056628,03 47 29.58,+23 52 49.7,18.55,14.01,12.99,2.74,-45.1,2.74,7.2,1,1,19.9,-45.4,100,0.2768,
Pleiades,211056809,03 43 58.80,+23 52 57.8,9.5,8.31,22.73,2.25,-45.66,0.53,6.8,0.6,0,20.3,-45.3,100,2.3969,
Pleiades,211056856,03 45 46.90,+23 53 00.6,17.85,13.62,20.3,2.75,-51.35,2.75,7.7,1.1,1,20.1,-45.4,100,,
Pleiades,211056865,03 48 05.86,+23 53 01.1,17.21,13.27,15.64,2.12,-41.71,2.12,7.5,1,1,19.8,-45.4,100,0.5561,
Pleiades,211057064,03 49 12.19,+23 53 12.5,8.11,7.58,19.4,0.44,-44.93,0.39,7.8,0.3,0,19.7,-45.5,100,0.0559,
Pleiades,211057320,03 48 17.12,+23 53 25.3,10.19,8.89,16.21,0.9,-48.84,0.9,6.2,0.9,1,19.8,-45.5,100,3.8184,
Pleiades,211057388,03 48 18.01,+23 53 29.3,13.83,10.96,12.14,2.91,-50.69,2.86,6.1,0.8,1,19.8,-45.5,99,3.8161,
Pleiades,211057696,03 44 19.68,+23 53 45.9,17.98,13.31,21.47,2.75,-49.81,2.75,10.9,1.5,1,20.3,-45.3,99,0.3103,
Pleiades,211057712,04 03 43.83,+23 53 47.4,16.35,12.2,16.46,2.09,-46.02,2.08,14.3,2,1,18,-46,74,0.2775,
Pleiades,211057850,03 58 01.96,+23 53 54.9,17.01,13.07,19.17,2.58,-51.8,2.58,8.3,1.2,1,18.7,-45.8,100,0.3022,
Pleiades,211058381,03 40 18.84,+23 54 23.7,16.49,12.77,18.88,2.1,-49.11,2.1,6.7,0.9,1,20.7,-45.2,100,0.6702,
Pleiades,211058468,03 39 42.71,+23 54 27.9,16.13,12.41,18.87,2.1,-49.4,2.1,8.2,1.1,1,20.8,-45.2,100,0.7734,
Pleiades,211059010,03 41 42.40,+23 54 57.4,18.4,13.74,20.74,2.74,-54.44,2.74,9.4,1.3,1,20.6,-45.2,99,,
Pleiades,211059325,03 44 53.84,+23 55 16.6,10.51,8.82,21.56,0.83,-44.91,0.86,9.3,1.3,1,20.2,-45.3,100,2.3386,
Pleiades,211059650,03 55 48.71,+23 55 36.4,14.06,10.44,16.9,4.2,-47.4 1,1.4,15.9,2.2,1,18.9,-45.7,39,2.9481,
Pleiades,211059658,03 50 12.43,+23 55 36.6,16.08,12.17,20.78,2.08,-50.08,2.08,12.2,1.7,1,19.6,-45.5,98,0.3645,
Pleiades,211059727,03 46 04.29,+23 55 40.9,15.54,11.83,19.06,2.79,-47.83,2.79,9.1,1.3,1,20.1,-45.4,100,0.4336,
Pleiades,211059734,03 44 58.58,+23 55 41.0,15.93,12.13,23.67,2.23,-50.5,2.23,8.9,1.2,1,20.2,-45.3,100,0.4849,
Pleiades,211059754,03 50 25.14,+23 55 42.0,16.55,12.8,19.9,2.06,-45.97,2.06,7.1,1,1,19.6,-45.5,100,0.6601,
Pleiades,211059767,03 49 32.53,+23 55 42.6,16.13,12.41,21.9,2.06,-50.98,2.06,8.5,1.2,1,19.7,-45.5,100,0.7781,
Pleiades,211059775,03 50 58.16,+23 55 42.9,16.55,12.77,20.33,2.05,-46.56,2.05,7.4,1,1,19.5,-45.6,100,0.461,
Pleiades,211059880,03 41 22.88,+23 55 48.3,16.08,12.34,17.29,2.13,-48.79,2.13,7.7,1.1,1,20.6,-45.2,100,0.7308,
Pleiades,211059949,03 57 36.07,+23 55 52.4,13.85,10.77,16.27,2.08,-47.17,2.08,7.1,1,1,18.7,-45.8,100,1.6758,
Pleiades,211059981,03 44 56.00,+23 55 54.0,15.83,11.91,27.48,2.24,-48.97,2.23,13.4,1.8,1,20.2,-45.3,76,0.3954,
Pleiades,211060049,03 51 12.07,+23 55 57.5,13.92,10.91,16.57,2.08,-50.28,2.08,6.8,0.9,1,19.5,-45.6,100,4.5971,
Pleiades,211060078,03 50 40.07,+23 55 59.0,10.11,8.85,19.43,0.77,-45.72,0.77,6.5,0.9,1,19.5,-45.5,100,2.1644,
Pleiades,211060530,03 49 36.11,+23 56 23.4,15.99,12.31,17.7,2.06,-49.05,2.06,8.4,1.2,1,19.7,-45.5,100,,
Pleiades,211060621,03 47 52.53,+23 56 28.5,9.73,8.57,20.34,0.95,-49.34,0.95,6.7,0.9,1,19.9,-45.5,100,2.8022,
Pleiades,211060762,03 54 28.11,+23 56 36.4,17.84,13.75,16.66,2.53,-49.33,2.53,7.1,1,1,19.1,-45.7,100,0.3486,
Pleiades,211061207,03 45 38.98,+23 57 01.1,17.26,13.31,15.91,2.79,-50.41,2.79,7.6,1,1,20.1,-45.4,100,0.347,
Pleiades,211061313,03 45 49.42,+23 57 05.9,18,13.83,18.6,2.75,-47.4,2.75,7.7,1.1,1,20.1,-45.4,100,,
Pleiades,211061316,03 43 56.99,+23 57 06.0,16.12,12.3,19.86,2.15,-51.31,2.15,9.8,1.4,1,20.3,-45.3,100,0.8159,
Pleiades,211062206,03 56 18.59,+23 57 51.8,14.56,11.28,18.9,2.1,-53.21,2.1,7,1,1,18.9,-45.7,100,1.1343,
Pleiades,211062438,03 48 29.76,+23 58 06.1,16.88,13,20.97,2.12,-51.36,2.12,7.8,1.1,1,19.8,-45.5,100,0.6205,
Pleiades,211062604,03 42 44.46,+23 58 15.6,17.21,13.23,19.38,2.64,-50.53,2.64,6.9,0.9,1,20.5,-45.3,100,0.4436,
Pleiades,211062662,03 47 41.44,+23 58 19.0,12.89,10.31,21.3,2.24,-49.74,2.24,7.9,1.1,1,19.9,-45.4,100,0.483,
Pleiades,211062705,03 48 22.75,+23 58 21.3,13.78,10.48,13.23,2.12,-48,2.12,10.1,1.4,1,19.8,-45.5,97,2.4666,
Pleiades,211062846,03 55 34.42,+23 58 28.6,17.08,13.26,14.67,2.1,-47.76,2.1,6.3,0.9,1,19,-45.7,100,0.5027,
Pleiades,211063000,03 48 49.32,+23 58 38.1,12.15,9.99,24.49,2.34,-43.84,2.34,7,1,1,19.8,-45.5,100,0.5503,
Pleiades,211063049,03 48 09.21,+23 58 40.9,16.35,12.65,12.33,2.19,-47.66,2.19,7.7,1.1,1,19.8,-45.5,99,0.9637,
Pleiades,211063081,03 41 56.72,+23 58 43.4,17.29,13.25,14,2.14,-39.52,2.14,7,1,1,20.6,-45.2,98,0.4007,
Pleiades,211063098,03 50 50.95,+23 58 44.3,16.31,12.34,14.74,2.03,-42.02,2.03,11.4,1.6,1,19.5,-45.6,95,,
Pleiades,211063134,03 48 13.31,+23 58 47.1,16.19,12.36,14.48,2.19,-49.37,2.19,9.5,1.3,1,19.8,-45.5,99,0.8237,
Pleiades,211063235,03 39 46.34,+23 58 53.1,15.35,11.83,18.73,2.2,-50.45,2.2,8.2,1.1,1,20.8,-45.2,100,1.1377,
Pleiades,211063723,03 48 10.17,+23 59 20.5,17.59,13.49,12.85,2.16,-44.49,2.16,7.7,1.1,1,19.8,-45.5,99,0.6734,
Pleiades,211063744,03 42 40.22,+23 59 21.7,14.63,11.15,16.91,2.14,-50.28,2.14,9.1,1.3,1,20.5,-45.3,100,0.2587,
Pleiades,211063756,03 42 18.87,+23 59 22.3,13.95,11.17,26.06,2.14,-51.61,2.14,5.2,0.7,1,20.5,-45.3,92,,
Pleiades,211064137,03 46 43.60,+23 59 42.5,14.9,11.58,15.02,2.24,-52.52,2.24,6.3,0.9,1,20,-45.4,99,2.234,
Pleiades,211064196,03 50 12.25,+23 59 45.2,14.38,10.84,13.86,2.06,-46.87,2.06,12.2,1.7,1,19.6,-45.5,92,1.8401,
Pleiades,211064435,03 44 27.91,+23 59 59.9,17.68,13.49,16.36,2.79,-52.17,2.79,7.4,1,1,20.3,-45.3,100,0.3044,
Pleiades,211064526,03 44 35.41,+24 00 04.8,13.53,10.65,18.9,2.23,-49.64,2.23,6.7,0.9,1,20.3,-45.3,100,9.0574,
Pleiades,211064559,03 48 06.64,+24 00 07.0,16.32,12.54,15.6,2.18,-50.75,2.17,7.9,1.1,1,19.8,-45.5,100,0.6242,
Pleiades,211064722,03 42 41.85,+24 00 15.8,16.42,12.68,20.5,2.14,-51.84,2.14,7.1,1,1,20.5,-45.3,100,0.6713,
Pleiades,211065006,03 57 16.85,+24 00 33.1,12.23,9.94,18.76,2.29,-53.7,2.29,7.8,1.1,1,18.8,-45.8,100,7.2904,
Pleiades,211065077,03 44 47.32,+24 00 37.9,15.96,12.33,21.04,2.23,-53.21,2.23,7,1,1,20.2,-45.4,100,0.7563,
Pleiades,211065162,03 36 30.30,+24 00 43.8,11.87,9.9,19.39,2.34,-45.72,2.34,6.9,0.9,1,21.2,-45,100,7.551,
Pleiades,211065426,03 58 25.13,+24 00 58.9,16.26,12.49,19.7,2.1,-50.22,2.1,8.7,1.2,1,18.6,-45.8,100,0.6209,
Pleiades,211065494,03 41 26.88,+24 01 02.6,15.32,11.47,17.93,2.13,-47.26,2.13,13.6,1.9,1,20.6,-45.2,95,0.3591,
Pleiades,211066062,03 46 35.53,+24 01 35.6,16.88,12.82,19.08,2.81,-53.43,2.92,10.4,1.4,1,20,-45.4,99,0.2973,
Pleiades,211066157,03 46 58.26,+24 01 41.5,16.98,13.07,17.51,2.91,-49.25,2.91,8.2,1.1,1,20,-45.4,100,0.8082,
Pleiades,211066181,03 46 59.31,+24 01 42.9,15.97,12.12,16.91,2.19,-52.47,2.19,11.3,1.6,1,20,-45.4,95,0.5265,
Pleiades,211066186,03 42 41.17,+24 01 43.0,17,13.08,21.39,2.14,-48.31,2.14,7.7,1.1,1,20.5,-45.3,100,0.5634,
Pleiades,211066263,03 46 39.39,+24 01 46.9,11.85,9.86,17.86,0.91,-49.24,0.91,6.8,0.9,1,20,-45.4,100,6.1296,
Pleiades,211066346,03 46 23.46,+24 01 51.4,16.73,12.78,19.12,2.75,-48.06,2.75,8.3,1.1,1,20,-45.4,100,0.4678,
Pleiades,211066413,03 56 28.90,+24 01 54.4,16.38,12.64,17.28,2.1,-52.22,2.1,7.2,1,1,18.9,-45.8,100,0.4551,
Pleiades,211066477,03 48 31.83,+24 01 59.0,16.64,12.85,14.67,2.16,-54.29,2.16,7.1,1,1,19.8,-45.5,97,0.4896,
Pleiades,211066484,03 48 33.78,+24 01 59.2,16.65,12.94,16.16,2.16,-51.96,2.16,6.5,0.9,1,19.8,-45.5,100,1.3602,
Pleiades,211066615,03 45 26.14,+24 02 06.5,8.01,7.46,21.31,0.45,-46.95,0.45,8.2,0.3,0,20.2,-45.4,100,0.1212,
Pleiades,211066835,03 45 51.63,+24 02 20.0,7.84,7.33,19.72,0.5,-44.88,0.39,7.4,0.2,0,20.1,-45.4,100,,
Pleiades,211067166,03 39 22.06,+24 02 39.2,17.17,13.38,13.42,2.2,-37.35,2.2,5.6,0.8,1,20.9,-45.2,66,,
Pleiades,211067419,03 48 26.17,+24 02 54.1,9.85,8.66,18.45,0.94,-48.9,0.94,6.3,0.9,1,19.8,-45.5,100,2.491,
Pleiades,211067634,03 47 09.18,+24 03 08.0,15.21,11.72,19.48,2.91,-53.8,2.91,7.3,1,1,20,-45.4,100,0.2679,
Pleiades,211067702,03 57 33.31,+24 03 11.5,11.73,9.86,16.45,0.91,-46.95,0.91,6,0.8,1,18.7,-45.8,100,7.798,
Pleiades,211067768,03 46 12.87,+24 03 15.7,13.44,10.59,22.5,2.12,-51.37,2.12,7.2,1,1,20.1,-45.4,100,1.3879,
Pleiades,211067927,03 41 31.19,+24 03 25.0,16.97,13.06,22.91,2.14,-53.53,2.14,7.4,1,1,20.6,-45.2,100,0.3868,
Pleiades,211067949,03 53 21.67,+24 03 26.8,17.35,13.25,12.87,2.68,-43.74,2.68,8,1.1,1,19.2,-45.7,100,,
Pleiades,211068230,03 49 52.42,+24 03 43.3,18.26,13.93,22.1,2.7,-48.6,2.7,6.9,1,1,19.6,-45.5,100,,
Pleiades,211068337,03 49 16.41,+24 03 49.3,14.26,10.75,22.81,4.63,-45.19,4.62,10.7,1.5,1,19.7,-45.5,99,0.4015,
Pleiades,211068400,03 53 23.71,+24 03 54.2,11.15,9.44,19.79,1.04,-45.74,0.59,7.3,0.3,0,19.2,-45.7,100,4.065,
Pleiades,211068579,03 44 23.06,+24 04 05.8,13.01,10.17,19.19,2.23,-52.17,2.23,8.7,1.2,1,20.3,-45.3,100,0.3567,
Pleiades,211068914,03 45 44.08,+24 04 26.8,13.56,10.66,17.99,2.12,-49.95,2.12,6.9,1,1,20.1,-45.4,100,3.7965,
Pleiades,211069011,03 54 21.59,+24 04 32.5,9.55,8.42,19.46,0.87,-45.69,0.45,7.7,0.3,0,19.1,-45.7,100,0.8817,
Pleiades,211069316,03 58 20.90,+24 04 52.1,7.22,7.12,19.02,0.08,-45.22,0.03,7.3,0.4,0,18.6,-45.8,100,,
Pleiades,211069418,03 42 56.54,+24 04 58.1,14.78,11.21,17.46,2.14,-53.39,2.14,11.3,1.6,1,20.4,-45.3,89,0.8174,
Pleiades,211069456,03 45 35.40,+24 04 59.5,9.94,8.56,14.47,0.76,-44.58,0.76,8.5,1.2,1,20.1,-45.4,99,1.0199,
Pleiades,211069510,03 55 09.00,+24 05 02.3,15.45,11.89,18.07,2.1,-51.16,2.1,7.3,1,1,19,-45.7,100,1.828,
Pleiades,211069615,03 42 10.92,+24 05 08.7,14.59,11.17,20.13,2.14,-50.27,2.14,9.2,1.3,1,20.5,-45.3,100,0.4774,
Pleiades,211069863,03 40 26.39,+24 05 23.9,15.33,11.68,16.67,2.18,-45.87,2.18,8.3,1.1,1,20.7,-45.2,100,0.7654,
Pleiades,211070495,03 40 25.61,+24 06 00.3,16.69,12.83,20.04,2.18,-50.43,2.18,7.5,1,1,20.7,-45.2,100,0.606,
Pleiades,211070577,03 49 55.48,+24 06 05.2,16.45,12.62,19.78,2.06,-51.91,2.06,8.3,1.1,1,19.6,-45.5,100,0.5612,
Pleiades,211070664,03 46 39.33,+24 06 11.5,9.16,8.19,19.72,0.81,-45.75,0.89,6.5,0.9,1,20,-45.4,100,0.8702,
Pleiades,211071351,03 43 11.64,+24 06 52.7,17.28,13.2,17.18,2.65,-43.44,2.65,8.5,1.2,1,20.4,-45.3,100,0.4164,
Pleiades,211071431,03 42 17.89,+24 06 57.8,16.85,12.97,25.56,2.14,-49.81,2.14,8.4,1.2,1,20.5,-45.3,100,0.6026,
Pleiades,211071504,03 46 31.18,+24 07 02.5,13.31,10.46,15.81,1.73,-49.28,2.21,7.8,1.1,1,20,-45.4,100,4.8107,
Pleiades,211071563,03 39 35.45,+24 07 06.4,14.51,11.18,22.97,2.16,-48.54,2.16,7.7,1.1,1,20.8,-45.2,100,,
Pleiades,211071722,03 45 16.14,+24 07 16.1,15.01,11.59,20.82,2.79,-48.92,2.79,6.9,1,1,20.2,-45.4,100,2.1851,
