,cluster,distance
316,,11.498917278375892
317,,25.700679647855385
318,,14.596362238231029
322,,
323,,12.98830890431183
324,ESO_245-09,234.90090998910603
325,,13.443282167843117
327,Blanco_1,259.5952738056167
328,,183.8137994050297
329,,19.891646306078464
330,,22.082428029434965
331,ESO_245-09,111.22955210425297
332,,23.44989009013176
333,,18.048510171127784
335,,20.282409509990032
338,,63.47639594741951
340,,13.53440590760566
341,,25.99938222459214
343,,44.91550549096766
344,,17.494068247628856
345,Blanco_1,50.96766393490207
346,Blanco_1,137.57316650271028
347,,5.360392205527901
348,Blanco_1,11.197828656838666
351,,131.3546305779849
353,ESO_245-09,75.66438672480362
354,,27.723987619782392
355,,11.421831560600284
356,Blanco_1,123.45175951246824
357,,11.0508651718117
358,,103.15283103064516
359,ESO_245-09,167.6424701051176
360,Blanco_1,137.60639964255668
362,,26.903692277599855
363,,8.313667027169261
364,,
365,Blanco_1,166.0928668272661
366,Blanco_1,122.67281204922173
368,,14.38061806210108
369,,11.643701175456126
370,Blanco_1,88.20557764658327
371,,23.373973001495727
373,NGC_7826,149.96870365677395
374,Blanco_1,148.01393341123114
375,,19.656232898324603
376,,19.65651530220589
378,NGC_7826,212.9600980656929
380,,14.337617230939216
383,,11.236915001921293
384,ESO_245-09,252.6798920842159
385,,8.669371654134206
386,FSR_1440,69.7005033086067
388,,25.014220670068465
391,,11.424769555585694
393,,5.711788720662739
396,ABDMG,7.002129455936631
398,,6.981737823507587
400,,38.35736112805998
402,,5.5047422495193965
403,,24.02889258789888
404,,15.354367932501276
406,ABDMG,10.397875712253423
411,,4.9745421807116905
413,,5.464407567270131
415,,1.17699730043573e-05
418,,8.556073449520255
421,,6.270363705173398
422,,9.450595675427623
423,,10.064181030767399
424,,6.866286484814159
426,,9.307772628605168
428,,8.206152495760007
429,,8.31312850483391
431,,4.246862111356481
433,,60.5757510177488
434,,8.757755175792376
435,,7.616238739801478
437,,12.462461611883171
438,Hyades,5.56574141208395
439,,16.195065586351525
442,THA,4.991519700941542
443,,38.64123995744733
444,THA,4.875573163938232
448,,8.90197777237776
449,Alessi_13,215.02091674409428
450,COL,3.5277787693859483e-06
451,,5.202561478585267
452,,6.197848315066298
453,,10.339330637440229
454,,5.480559203496596
455,,10.473247407453512
457,,5.5606622370949355
458,,12.433607841436832
460,,13.635255083056373
461,,11.537192770235903
462,,
463,Alessi_13,8.440873086806786
464,Alessi_13,1338.2040468701964
465,,4.38828591861294
466,NGC_2287,8.271442908854834
468,,4.006489001395229
469,,7.855971671899799
470,,2.0205332731257264
471,,2.1535112525860804
473,,9.054672983938445
474,Platais_5,1.7332110948681898
475,ABDMG,4.4610667772228325
476,,3.3209240303009444e-06
477,,3.3642565353735256
479,,5.647121838919376
480,,5.914933803351357
481,,5.909294032665963
482,,5.036723069574664
483,,4.589143768855851
484,,3.4511685047314913
486,,5.448792120764863
487,,
488,,8.30403205598344
489,,20.540808922408967
490,,4.484614339846646
491,NGC_2678,37.159211713981506
492,,24.898054035900696
493,,9.485806224321623
494,,6.10445597099056
495,,2.0039962315978324
499,,4.96433573494871
500,,10.133143688226035
501,Alessi_3,7.1541534601429895
502,,4.336184323445159
503,,4.545070645066513e-05
504,,6.30002866427734e-05
505,,8.120058562247275
507,,7.230495958912846
508,,6.49179566598674e-05
509,,8.36871788521766
510,,8.768244514389794
511,,8.075386615759937
512,,6.446855617511763
514,,4.321803924680437
515,,6.844441889350609
518,,4.777511611105699
519,,3.8019492496944194
520,,5.622602658926811e-05
521,,2.5203040667063887
522,,3.2592086687090885e-05
523,,3.355632214636746
524,Mamajek_3,1.7144168506021735
525,,6.328874860109519
526,THOR,7.487132705071324
527,,1.5902003817285255e-05
530,,5.558921778813439
532,,3.804810708505229
533,,4.957586117450885
534,ASCC_27,18.840553135768822
535,FSR_1077,10.170915163100217
536,Berkeley_24,34.982952708341834
537,Teutsch_13,10.845379893649504
538,,8.291348268103777
539,,8.185717615997778
