TIC ID,PATHOS ID,Cluster,RA (deg),Dec. (deg),Period (day),T0 (BTJD),Rp/R*,Note,T_14,T_14(15p),T_14(84p),G (mag),parallax (mas),GOF_AL,AEN_sig
308538095,21,NGC 2516,120.8514,-60.6655,11.6929,1420.294,0.13,,0.211249,-0.023552,0.017832,12.0346,2.43331141932232,1.2,0
317536999,22,Ruprecht 94,172.5414,-63.1323,5.8557,1576.007,0.178,,0.137312,-0.00943,0.015795,14.3025,0.3921126714285,1.06,0
372913337,23,NGC 2516,119.4918,-60.8459,1.786,1325.341,0.045,,0.066758,,,8.984,2.34539458400966,20.22,8.65
374732772,42,Lupus,120.7446,-49.0183,18.7944,1632.117,0.077,,0.198385,-0.03279,0.040308,10.6705,6.4055475652252,12.81,0
389927567,24,Melotte 101,160.2669,-65.5215,6.9408,1575.805,0.261,,0.208376,,,13.3556,0.43205876712317,-2.43,0
394126269,1,Galactic Field,2.8796,-70.9869,3.8582,1339.677,0.152,,,,,15.9134,0.930813105675721,-0.35,0
410450228,25,NGC 2516,117.8949,-60.4124,15.7784,1420.25,0.095,TOI-681,0.137847,-0.009827,0.016877,10.9051,2.34473467369964,7.85,0
411662605,43,Lupus,244.4027,-50.3948,1.561,1631.386,0.056,,0.117567,-0.004529,0.004522,,,,
413809436,26,NGC 5925,232.0979,-54.5586,2.703,1627.336,0.233,,0.151743,-0.014318,0.016277,14.734,0.681360053201893,-2.54,0
419091401,27,Ruprecht 48,120.6352,-31.9951,12.7071,1499.685,0.188,,0.464694,,,13.992,0.237868652770674,-1.21,0
432564189,28,Ruprecht 82,146.5229,-53.9787,3.7611,1546.783,0.12,,0.252006,,,13.9776,0.463156491681683,-0.76,0
450610413,29,Harvard 5,186.7427,-60.6906,10.678,1600.682,0.176,,0.254998,-0.020321,0.022138,12.388,0.693197368611343,8.3,0
460205581,30,IC 2602,157.0373,-64.5052,8.3252,1574.271,0.059,TOI-837,0.142107,-0.03642,0.020442,10.356,6.98927102143432,8.69,0
460950389,31,IC 2602,159.158,-64.7982,2.8622,1572.224,0.042,,0.096501,-0.010855,0.00438,12.3267,6.62294223988049,-1.39,0
462004618,32,NGC 3114,149.912,-59.9032,2.3669,1544.599,0.172,,0.107114,-0.008535,0.015231,11.2987,1.03868512451186,17.16,3.56
748919024,33,Ruprecht 151,115.1315,-16.3216,2.5395,1494.064,0.118,,0.140661,-0.016626,0.015908,13.7618,0.738740628018279,21.39,37.16
1036769612,34,Trumpler 22,217.5064,-61.3249,7.4732,1599.298,0.111,,0.182461,-0.017671,0.026612,16.6392,0.424350094118147,1.86,0
