TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
394137592,120.01,,3,5,5,3,4,4,4,94.2,228.9,0,0,4,KP,CP,7.1062,0.006,,1,spoc,00:17:47.32,-66:21:32.14,64.763,0.049,-5.056,0.040999999999999995,2458332.082805,0.0007070000000000001,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,28.935114000000002,12.215808,1.480912,,,32.9,79.5702,0.17345,5479.3,57.0,3.77,0.08,2.48771,0.29839899999999997,-0.02,0.09,0.96,0.124471,1,2018-09-05,2018-09-05,2021-08-19 00:00:00,
207081058,121.01,,5,5,5,5,3,5,5,62.4,114.3,1,0,1,PC,APC,9.9358,0.006,,1,qlp,22:07:28.2,-41:48:55.84,49.56100000000001,0.042,-9.677999999999999,0.057,2459074.32911,0.01323,14.763670000000001,0.00027,6.143,0.188,15.89148,0.001088,14530.0,1.00224,15.9573,0.764266,234.125,1089.0,119.0,182.169,1.0865,6053.0,193.0,4.3135,0.321619,1.23,0.06,,,1.14,0.149653,"1,28",2018-09-05,2020-10-27,2021-08-19 00:00:00,low-mass EB; initially thought to be a warm Jupiter candidate with a possible secondary
231702397,122.01,,2,5,5,2,4,3,4,2.7,63.3,11,1,1,PC,CP,13.084000000000001,0.006999999999999999,,1,qlp,22:11:47.58,-58:56:45.91,138.138,0.08900000000000001,-235.81,0.076,2458329.1214900003,0.00446,5.07803,2.9999999999999997e-05,1.09,0.21600000000000003,4.755065,0.022083000000000002,4370.0,20.3386,2.48083,0.181748,4.01957,394.0,9.0,62.118,0.2158,3318.0,64.0,4.9581,0.407256,0.33,0.01,,,0.31585799999999997,0.020251400000000003,"1,27,28",2018-09-05,2020-10-27,2021-08-19 00:00:00,Small star with a small planet candidate
290131778,123.01,,3,5,5,5,4,5,3,213.8,219.1,3,20,12,PC,CP,7.87598,0.011000000000000001,,1,spoc,21:18:47.9,-26:36:58.95,23.236,0.157,-57.556999999999995,0.152,2458325.3756580004,0.00047300000000000006,3.3089073480405404,9.759554e-05,5.66618284888962,0.027020762,4.339840000000001,0.025478,3989.16247021581,23.465498,17.2251329983882,0.8746581,4557.443073703161,2095.55981991803,169.55592,161.498,2.4235,6188.0,194.0,4.27166,2.0058599999999998,2.62392,0.132412,,,1.263,0.201024,"1,28",2018-09-05,2020-10-05,2021-08-19 00:00:00,HD 202772 A b
29831208,124.01,,5,5,5,5,3,5,5,65.8,245.7,2,0,1,PC,APC,11.1311,0.006,,1,qlp,04:26:19.83,-67:48:22.87,7.888,0.10800000000000001,32.653,0.115,2459168.704559,0.0006464,1.842799,2.2e-06,1.5730000000000002,0.149,2.685086,1.071014,2470.0,985.954,35.2852,,2675.13,2003.0,20.0,809.252,43.8985,5080.0,181.0,4.48159,2.00353,4.09,,,,,,"1,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31",2018-12-04,2021-01-28,2021-08-19 00:00:00,known TOI
52368076,125.01,,1,5,5,5,4,1,2,6.1,56.1,15,5,5,PC,CP,10.1985,0.006,,1,qlp,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.95299999999999,0.08,2458327.432906,0.0018789999999999998,4.65183,2e-05,2.68,0.395,1.010204,0.0013880000000000001,930.0,1.27839,2.6454299999999997,0.187223,205.30900000000003,1054.0,19.0,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.85,0.05,,,0.91,0.110203,"1,2,28",2018-10-19,2020-10-26,2021-08-19 00:00:00,TOI-125 b
52368076,125.02,,2,5,5,5,4,4,2,3.7,54.7,15,5,5,PC,CP,10.1985,0.006,,2,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.95299999999999,0.08,2458334.4566900004,0.002132,9.16547691003673,0.004613768,3.40220728591443,0.44514522,1.003517,0.113186,923.846023011876,104.24276,3.0568097625911403,0.36309895,73.2347251557057,746.1033905422861,7.7484910000000005,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.852266,0.049718599999999995,,,0.91,0.110203,"1,2,28",2018-10-19,2020-10-05,2021-08-19 00:00:00,second planet (125.02)
52368076,125.03,,1,5,5,5,4,4,1,2.1,36.1,15,5,5,PC,CP,10.1985,0.006,,3,spoc,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.95299999999999,0.08,2458342.851835,0.003286,19.981866,0.004595,2.991231,0.720831,1.1365040000000002,0.121919,1046.211139,112.284874,2.899664,2.6961209999999998,26.9456039865181,581.087763582383,10.261628,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.8992700000000001,0.116155,,,0.91,0.110203,"1,2",2018-10-19,2018-10-19,2021-08-19 00:00:00,period is likely correct but possibly two independent single transits
70440470,126.01,,5,5,5,5,5,5,5,48.3,111.6,0,0,1,PC,KP,12.7923,0.006,,1,spoc,22:37:57.43,-35:09:15.13,-9.326,0.040999999999999995,-50.141999999999996,0.045,2458326.7310430002,0.0009480000000000001,3.03546946843578,0.0002493522,2.7788864347575997,0.08870275,17.625303,0.443817,16102.4509090752,408.6872,13.789453912111401,0.7939321,726.7340206932919,1324.2306096715402,26.409628,573.0269999999999,11.687999999999999,5751.0,189.0,4.35036,,1.0722399999999999,0.053588,,,1.09,0.142327,"1,28",2018-11-07,2020-10-05,2021-08-19 00:00:00,WASP-12b
234523599,127.01,,5,5,5,5,4,5,5,39.1,141.1,3,0,0,KP,CP,14.1266,0.006999999999999999,,1,spoc,01:02:12.45,-61:45:22.08,78.858,0.087,-27.095,0.064,2458325.6501970002,0.0005650000000000001,3.79551059876656,0.00020908711,1.95992726065027,0.06744933,56.113595,1.305376,50369.702484104804,1201.5728,10.0576257671974,0.38655388,18.0832792400231,525.943445007774,32.727764,140.225,0.86,3424.0,,4.438,,0.44537200000000005,0.01356,,,0.44159,0.0205201,"1,2,28,29",2018-11-14,2020-11-06,2021-08-19 00:00:00,HATS-71 b
391949880,128.01,,1,5,5,1,4,4,4,7.6,85.1,4,9,4,PC,PC,7.9849,0.006,,1,qlp,05:18:05.03,-80:57:51.78,-49.146,0.042,45.306999999999995,0.046,2459385.3903,0.0015494999999999999,4.9404680999999995,1.39e-05,1.966,0.22,0.369213,0.000165,340.0,0.151953,2.2189799999999997,0.10878,182.40599999999998,1023.0,27.0,68.4727,0.11900000000000001,6086.0,193.0,4.26269,0.26143,1.13,0.05,,,1.13,0.15123699999999998,"1,8,11,12,13,27,28,31,38,39",2018-09-05,2021-08-19,2021-08-19 00:00:00,There is a nearby (2
201248411,129.01,,3,5,5,3,4,4,4,155.9,664.8,12,0,1,PC,CP,9.9005,0.006,,1,spoc,00:00:44.55,-54:49:50.96,-202.815,0.031,-71.518,0.028999999999999998,2458354.552404,0.000149,0.9809648244652851,1.1865118e-05,0.750818156630357,0.017458443,7.9192029999999995,0.133157,7267.32005958761,122.634514,10.1002351998545,3.2677622000000004,719.5784151850239,1320.9588275129902,75.1829,61.7856,0.0805,4486.0,175.0,4.499140000000001,0.33879699999999996,0.764401,0.0628191,,,0.7,0.0867846,"2,28,29",2018-10-22,2020-11-06,2021-08-19 00:00:00,TOI 129.01
263003176,130.01,,3,5,5,5,4,3,4,5.0,57.4,2,8,5,CP,CP,7.4371,0.006,,1,spoc,00:50:11.23,-83:44:37.56,139.424,0.055999999999999994,30.476,0.042,2459368.982611,0.003498,14.339224186200301,4.8608190000000006e-05,4.58847277789476,0.28711307,0.43143100000000006,0.015515000000000001,397.283538251464,14.289504,2.31020233834009,0.6078723,118.753741027731,841.9408364794631,25.63707,57.5846,0.0945,6295.7,56.481,4.438,,1.13742005825043,0.0451659,,,1.23,0.18151,"1,12,13,27,39",2018-09-05,2021-10-11,2021-10-12 12:04:36,HD 5278 b
235037761,131.01,,5,5,5,5,3,5,5,76.2,398.5,6,0,6,PC,APC,9.8567,0.006,,1,spoc,23:35:18.89,-64:33:42.9,192.826,1.943,-31.069000000000003,1.785,2458326.0689520002,0.000449,6.240662,0.00017900000000000001,1.569129,0.040222,9.940196,0.25154699999999997,9113.476719,231.65656,12.720704,4.591968,66.843455,729.26349,50.2,,,4174.0,172.0,4.34197,0.43340100000000004,0.9031040000000001,0.188582,,,,,1,2018-09-05,2020-10-27,2021-08-19 00:00:00,V shaped
89020549,132.01,,2,5,5,2,4,4,4,9.3,55.9,12,2,5,PC,CP,10.8061,0.006,,1,qlp,22:33:35.92,-43:26:12.74,35.553000000000004,0.043,-53.055,0.054000000000000006,2458326.93345,0.00562,2.1036599999999996,2e-05,2.638,0.474,1.129753,0.001772,1040.0,1.6321299999999999,3.02825,0.215204,1079.31,1596.0,18.0,163.678,0.987,5673.0,188.0,4.5538300000000005,0.4189,0.94,0.05,,,0.91,0.113124,"1,28",2018-09-05,2020-11-12,2021-08-19 00:00:00,Confirmed planet TOI-132 b
219338557,133.01,,2,4,4,2,3,4,4,3.9,61.1,9,8,1,PC,PC,9.9762,0.006,,1,spoc,23:37:35.37,-58:57:18.28,196.638,0.043,-102.545,0.044000000000000004,2458327.2835669997,0.0014428071,8.19922718924325,3.3172197e-05,2.2298894243387,0.27246556,1.103077,0.07535599999999999,1015.4558192393699,69.40332,2.20435020720377,0.64090836,26.236632522005802,577.227180108517,11.5512295,48.6326,0.06345,4028.0,170.0,4.559019999999999,0.20110799999999998,0.6505330204963679,0.0558995,,,0.67,0.0852257,"1,28",2018-09-05,2021-07-01,2021-08-19 00:00:00,TFOP work in progress.
234994474,134.01,,1,5,5,5,4,1,4,13.9,119.1,6,5,7,CP,CP,9.22978,0.006999999999999999,,1,spoc,23:20:06.86,-60:03:56.63,-319.961,0.102,-127.781,0.115,2458326.033161,0.0006529271499999999,1.40152451566955,5.9932813e-06,1.32199295587295,0.108556986,0.6724140000000001,0.04136,619.124015084521,38.093296,1.7395649290260602,0.13575211,149.373865333401,891.637661967117,15.280327,25.1496,0.0239,3794.0,69.0,4.67812,0.063226,0.597006976604462,0.01815,,,0.5856399999999999,0.020527200000000002,"1,28",2018-09-05,2021-10-07,2021-10-08 12:04:18,L 168-9 b
267263253,135.01,,5,5,5,5,4,5,5,166.3,201.9,2,0,3,PC,CP,9.2205,0.006,,1,qlp,00:29:18.94,-76:18:14.52,-2.97,0.037000000000000005,6.961,0.031,2459039.738438,0.00026854113,4.12691,0.0,4.428999999999999,0.017,11.998292999999999,4.4e-05,10990.0,0.0408554,16.98,0.693566,1451.24,1719.0,294.0,196.852,0.774,6888.0,204.0,4.23416,0.35565399999999997,1.59,0.06,,,1.46,0.24944499999999997,"1,27,28",2018-09-05,2020-10-26,2021-08-19 00:00:00,HD 2685b
410153553,136.01,,1,5,5,5,4,1,4,31.9,42.4,8,0,5,PC,CP,11.9238,0.008,,1,spoc,22:41:59.09,-69:10:19.59,334.35699999999997,0.083,-726.9739999999999,0.086,2459036.323679,0.00038085453,0.462884405273262,1.5224909e-05,0.5588219207881341,0.08828183,4.885837,0.188836,4489.91192153051,173.90933,1.35432368024304,0.18157507,64.7181040420166,723.396154940473,25.038494,14.8846,0.0113,3043.0,63.0,5.0970699999999995,0.42669399999999996,0.188624,0.00571031,,,0.157909,0.0200668,"1,27",2018-09-05,2020-10-27,2021-08-19 00:00:00,Level 1 target. Potential short period small planet around an M dwarf.
176957796,137.01,,5,5,5,5,5,5,5,8.1,89.0,2,2,3,PC,FA,10.702,0.006,,1,spoc,06:45:11.4,-66:14:17.98,18.528,0.048,-67.531,0.040999999999999995,2458327.3690029997,0.004306,4.819018,0.001436,3.035372,0.275922,1.9596209999999998,0.17443,1803.249732,160.64334,4.458667,0.8428540000000001,99.1694897769476,804.848741431187,8.547472,88.8838,0.19925,4651.0,175.0,4.569369999999999,0.2,0.85824,0.150601,,,0.74,0.0949972,1,2018-09-05,2021-01-28,2021-08-19 00:00:00,
277683130,138.01,,5,5,5,5,3,5,5,32.0,181.8,2,0,6,PC,APC,9.5739,0.006,,1,spoc,21:55:42.24,-61:40:23.73,-23.8,2.0,2.8,1.9,2458328.0586349997,0.000797,6.198041,0.000348,2.1767819999999998,0.055149000000000004,4.048655999999999,0.21228200000000003,3722.005937,195.5,8.294924,8.305693,267.79907599999996,1031.744158,17.5,128.488,,5722.0,189.0,4.35582,2.00367,1.11119,1.11119,,,,,1,2018-09-05,2018-09-05,2021-08-19 00:00:00,TFOP FP
